,event_id,name,type,location,start_time,end_time,date,start_datetime,end_datetime
34,34,Film Night #34,Concert,"Durham, United Kingdom",16:00,20:00,29/07/2024,29/07/2024 16:00,29/07/2024 20:00
35,35,Winter Gala #35,Fair,"Durham, United Kingdom",23:15,23:15,07/06/2024,07/06/2024 23:15,07/06/2024 23:15
36,36,Startup Workshop #36,Networking Event,"Durham, United Kingdom",13:45,14:15,11/08/2024,11/08/2024 13:45,11/08/2024 14:15
37,37,Tech Conference #37,Movie Screening,"Durham, United Kingdom",23:45,23:59,17/09/2024,17/09/2024 23:45,17/09/2024 23:59
38,38,Startup Workshop #38,Movie Screening,"Durham, United Kingdom",15:45,16:00,07/10/2024,07/10/2024 15:45,07/10/2024 16:00
39,39,New Year Party #39,Movie Screening,"Durham, United Kingdom",11:00,12:30,24/10/2024,24/10/2024 11:00,24/10/2024 12:30
40,40,Film Night #40,Workshop,"Durham, United Kingdom",20:15,23:15,29/10/2024,29/10/2024 20:15,29/10/2024 23:15
41,41,Tech Conference #41,Lecture,"Durham, United Kingdom",21:00,22:00,30/06/2024,30/06/2024 21:00,30/06/2024 22:00
42,42,Cultural Festival #42,Networking Event,"Durham, United Kingdom",22:30,22:45,07/06/2024,07/06/2024 22:30,07/06/2024 22:45
43,43,Food Fair #43,Movie Screening,"Durham, United Kingdom",20:45,21:00,09/09/2024,09/09/2024 20:45,09/09/2024 21:00
44,44,Music Festival #44,Exhibition,"Durham, United Kingdom",13:00,14:30,30/08/2024,30/08/2024 13:00,30/08/2024 14:30
45,45,Sports Day #45,Lecture,"Durham, United Kingdom",22:30,23:30,09/09/2024,09/09/2024 22:30,09/09/2024 23:30
46,46,Charity Run #46,Ball,"Durham, United Kingdom",17:30,17:30,01/09/2024,01/09/2024 17:30,01/09/2024 17:30
47,47,Sports Day #47,Networking Event,"Durham, United Kingdom",13:45,17:45,29/11/2024,29/11/2024 13:45,29/11/2024 17:45
48,48,Charity Run #48,Concert,"Durham, United Kingdom",13:45,15:30,29/07/2024,29/07/2024 13:45,29/07/2024 15:30
49,49,Shakespeare Play #49,Seminar,"Durham, United Kingdom",20:00,00:00,02/07/2024,02/07/2024 20:00,03/07/2024 00:00
50,50,Film Night #50,Party,"Durham, United Kingdom",13:30,17:30,12/11/2024,12/11/2024 13:30,12/11/2024 17:30
51,51,Sports Day #51,Lecture,"Durham, United Kingdom",09:00,09:30,14/09/2024,14/09/2024 09:00,14/09/2024 09:30
52,52,Science Seminar #52,Workshop,"Durham, United Kingdom",20:45,22:30,06/09/2024,06/09/2024 20:45,06/09/2024 22:30
53,53,Sports Day #53,Sports Event,"Durham, United Kingdom",19:30,19:45,25/07/2024,25/07/2024 19:30,25/07/2024 19:45
54,54,Art Exhibition #54,Festival,"Durham, United Kingdom",21:30,23:59,26/08/2024,26/08/2024 21:30,26/08/2024 23:59
55,55,Historical Lecture #55,Exhibition,"Durham, United Kingdom",22:30,22:45,07/07/2024,07/07/2024 22:30,07/07/2024 22:45
56,56,Charity Run #56,Sports Event,"Durham, United Kingdom",13:30,15:45,09/10/2024,09/10/2024 13:30,09/10/2024 15:45
57,57,Music Festival #57,Conference,"Durham, United Kingdom",20:00,20:00,08/12/2024,08/12/2024 20:00,08/12/2024 20:00
58,58,Tech Conference #58,Movie Screening,"Durham, United Kingdom",12:00,13:30,24/06/2024,24/06/2024 12:00,24/06/2024 13:30
59,59,Art Exhibition #59,Festival,"Durham, United Kingdom",14:15,15:00,30/08/2024,30/08/2024 14:15,30/08/2024 15:00
60,60,Cultural Festival #60,Festival,"Durham, United Kingdom",21:00,22:00,25/06/2024,25/06/2024 21:00,25/06/2024 22:00
61,61,Music Festival #61,Charity Event,"Durham, United Kingdom",19:45,21:45,29/10/2024,29/10/2024 19:45,29/10/2024 21:45
62,62,New Year Party #62,Conference,"Durham, United Kingdom",19:30,19:30,27/06/2024,27/06/2024 19:30,27/06/2024 19:30
63,63,Shakespeare Play #63,Party,"Durham, United Kingdom",18:00,22:00,13/07/2024,13/07/2024 18:00,13/07/2024 22:00
64,64,Tech Conference #64,Exhibition,"Durham, United Kingdom",15:30,16:45,07/10/2024,07/10/2024 15:30,07/10/2024 16:45
65,65,Charity Run #65,Play,"Durham, United Kingdom",14:00,14:00,20/06/2024,20/06/2024 14:00,20/06/2024 14:00
66,66,Sports Day #66,Ball,"Durham, United Kingdom",21:15,21:30,31/08/2024,31/08/2024 21:15,31/08/2024 21:30
67,67,Winter Gala #67,Exhibition,"Durham, United Kingdom",21:45,23:30,25/09/2024,25/09/2024 21:45,25/09/2024 23:30
68,68,Tech Conference #68,Movie Screening,"Durham, United Kingdom",15:00,19:00,01/08/2024,01/08/2024 15:00,01/08/2024 19:00
69,69,Food Fair #69,Fair,"Durham, United Kingdom",23:30,23:45,30/10/2024,30/10/2024 23:30,30/10/2024 23:45
70,70,Charity Run #70,Festival,"Durham, United Kingdom",18:00,18:00,06/09/2024,06/09/2024 18:00,06/09/2024 18:00
71,71,Food Fair #71,Exhibition,"Durham, United Kingdom",23:00,23:15,27/09/2024,27/09/2024 23:00,27/09/2024 23:15
72,72,Music Festival #72,Conference,"Durham, United Kingdom",08:30,08:30,11/09/2024,11/09/2024 08:30,11/09/2024 08:30
73,73,Music Festival #73,Conference,"Durham, United Kingdom",19:45,19:45,28/10/2024,28/10/2024 19:45,28/10/2024 19:45
74,74,Charity Run #74,Conference,"Durham, United Kingdom",14:00,15:00,27/11/2024,27/11/2024 14:00,27/11/2024 15:00
75,75,Charity Run #75,Ball,"Durham, United Kingdom",21:45,21:45,26/10/2024,26/10/2024 21:45,26/10/2024 21:45
76,76,Science Seminar #76,Exhibition,"Durham, United Kingdom",20:15,21:00,04/10/2024,04/10/2024 20:15,04/10/2024 21:00
77,77,Winter Gala #77,Party,"Durham, United Kingdom",21:15,21:45,17/07/2024,17/07/2024 21:15,17/07/2024 21:45
78,78,Historical Lecture #78,Workshop,"Durham, United Kingdom",17:30,18:00,16/11/2024,16/11/2024 17:30,16/11/2024 18:00
79,79,Music Festival #79,Party,"Durham, United Kingdom",14:15,14:30,10/07/2024,10/07/2024 14:15,10/07/2024 14:30
80,80,Film Night #80,Seminar,"Durham, United Kingdom",22:30,23:00,16/11/2024,16/11/2024 22:30,16/11/2024 23:00
81,81,Art Exhibition #81,Festival,"Durham, United Kingdom",08:30,09:00,29/07/2024,29/07/2024 08:30,29/07/2024 09:00
82,82,Cultural Festival #82,Concert,"Durham, United Kingdom",13:00,16:00,28/11/2024,28/11/2024 13:00,28/11/2024 16:00
83,83,Startup Workshop #83,Seminar,"Durham, United Kingdom",14:15,15:15,22/09/2024,22/09/2024 14:15,22/09/2024 15:15
84,84,Winter Gala #84,Party,"Durham, United Kingdom",10:00,10:45,19/10/2024,19/10/2024 10:00,19/10/2024 10:45
85,85,Cultural Festival #85,Ball,"Durham, United Kingdom",17:00,17:30,05/12/2024,05/12/2024 17:00,05/12/2024 17:30
86,86,Film Night #86,Exhibition,"Durham, United Kingdom",17:15,18:30,16/09/2024,16/09/2024 17:15,16/09/2024 18:30
87,87,Film Night #87,Sports Event,"Durham, United Kingdom",16:15,18:00,20/10/2024,20/10/2024 16:15,20/10/2024 18:00
88,88,Film Night #88,Networking Event,"Durham, United Kingdom",17:00,17:15,25/11/2024,25/11/2024 17:00,25/11/2024 17:15
89,89,Music Festival #89,Networking Event,"Durham, United Kingdom",20:15,21:30,23/10/2024,23/10/2024 20:15,23/10/2024 21:30
90,90,Winter Gala #90,Charity Event,"Durham, United Kingdom",18:30,19:15,17/11/2024,17/11/2024 18:30,17/11/2024 19:15
91,91,Food Fair #91,Networking Event,"Durham, United Kingdom",17:15,18:15,17/11/2024,17/11/2024 17:15,17/11/2024 18:15
92,92,Music Festival #92,Fair,"Durham, United Kingdom",17:15,19:00,21/09/2024,21/09/2024 17:15,21/09/2024 19:00
93,93,Sports Day #93,Festival,"Durham, United Kingdom",20:30,22:00,15/11/2024,15/11/2024 20:30,15/11/2024 22:00
94,94,Sports Day #94,Ball,"Durham, United Kingdom",13:45,15:00,05/11/2024,05/11/2024 13:45,05/11/2024 15:00
95,95,Film Night #95,Lecture,"Durham, United Kingdom",17:15,17:30,08/11/2024,08/11/2024 17:15,08/11/2024 17:30
96,96,Historical Lecture #96,Networking Event,"Durham, United Kingdom",20:15,20:45,30/09/2024,30/09/2024 20:15,30/09/2024 20:45
97,97,New Year Party #97,Movie Screening,"Durham, United Kingdom",21:30,22:15,10/08/2024,10/08/2024 21:30,10/08/2024 22:15
98,98,Sports Day #98,Conference,"Durham, United Kingdom",14:00,14:15,16/10/2024,16/10/2024 14:00,16/10/2024 14:15
99,99,Startup Workshop #99,Conference,"Durham, United Kingdom",14:30,15:30,16/08/2024,16/08/2024 14:30,16/08/2024 15:30
100,100,Art Exhibition #100,Play,"Durham, United Kingdom",13:45,14:15,10/10/2024,10/10/2024 13:45,10/10/2024 14:15
101,101,New Year Party #101,Exhibition,"Durham, United Kingdom",19:30,19:30,11/09/2024,11/09/2024 19:30,11/09/2024 19:30
102,102,Cultural Festival #102,Networking Event,"Durham, United Kingdom",21:00,21:45,06/10/2024,06/10/2024 21:00,06/10/2024 21:45
103,103,Shakespeare Play #103,Charity Event,"Durham, United Kingdom",14:45,15:00,30/10/2024,30/10/2024 14:45,30/10/2024 15:00
104,104,Art Exhibition #104,Sports Event,"Durham, United Kingdom",18:30,19:00,29/09/2024,29/09/2024 18:30,29/09/2024 19:00
105,105,Cultural Festival #105,Concert,"Durham, United Kingdom",16:30,17:00,21/07/2024,21/07/2024 16:30,21/07/2024 17:00
106,106,Charity Run #106,Seminar,"Durham, United Kingdom",12:15,12:45,22/10/2024,22/10/2024 12:15,22/10/2024 12:45
107,107,Tech Conference #107,Charity Event,"Durham, United Kingdom",16:45,17:45,13/10/2024,13/10/2024 16:45,13/10/2024 17:45
108,108,Science Seminar #108,Exhibition,"Durham, United Kingdom",18:15,18:45,16/08/2024,16/08/2024 18:15,16/08/2024 18:45
109,109,Charity Run #109,Sports Event,"Durham, United Kingdom",23:45,23:59,20/07/2024,20/07/2024 23:45,20/07/2024 23:59
110,110,Art Exhibition #110,Fair,"Durham, United Kingdom",17:30,19:15,19/11/2024,19/11/2024 17:30,19/11/2024 19:15
111,111,Tech Conference #111,Fair,"Durham, United Kingdom",14:30,16:45,24/10/2024,24/10/2024 14:30,24/10/2024 16:45
112,112,Food Fair #112,Lecture,"Durham, United Kingdom",17:00,19:45,19/08/2024,19/08/2024 17:00,19/08/2024 19:45
113,113,Sports Day #113,Concert,"Durham, United Kingdom",13:30,14:15,22/11/2024,22/11/2024 13:30,22/11/2024 14:15
114,114,Film Night #114,Concert,"Durham, United Kingdom",18:30,18:45,27/07/2024,27/07/2024 18:30,27/07/2024 18:45
115,115,Startup Workshop #115,Charity Event,"Durham, United Kingdom",18:15,19:00,29/11/2024,29/11/2024 18:15,29/11/2024 19:00
116,116,Film Night #116,Ball,"Durham, United Kingdom",14:00,15:00,01/09/2024,01/09/2024 14:00,01/09/2024 15:00
117,117,Tech Conference #117,Party,"Durham, United Kingdom",23:30,23:30,02/11/2024,02/11/2024 23:30,02/11/2024 23:30
118,118,Startup Workshop #118,Conference,"Durham, United Kingdom",10:15,11:00,07/09/2024,07/09/2024 10:15,07/09/2024 11:00
119,119,Food Fair #119,Conference,"Durham, United Kingdom",20:15,20:45,26/07/2024,26/07/2024 20:15,26/07/2024 20:45
120,120,Art Exhibition #120,Concert,"Durham, United Kingdom",14:00,15:30,16/09/2024,16/09/2024 14:00,16/09/2024 15:30
121,121,Food Fair #121,Networking Event,"Durham, United Kingdom",17:45,18:00,16/11/2024,16/11/2024 17:45,16/11/2024 18:00
122,122,Food Fair #122,Sports Event,"Durham, United Kingdom",17:45,18:30,30/11/2024,30/11/2024 17:45,30/11/2024 18:30
123,123,Cultural Festival #123,Festival,"Durham, United Kingdom",11:30,11:45,11/12/2024,11/12/2024 11:30,11/12/2024 11:45
124,124,Science Seminar #124,Lecture,"Durham, United Kingdom",10:15,10:15,19/06/2024,19/06/2024 10:15,19/06/2024 10:15
125,125,Food Fair #125,Ball,"Durham, United Kingdom",14:45,15:45,01/10/2024,01/10/2024 14:45,01/10/2024 15:45
126,126,Shakespeare Play #126,Fair,"Durham, United Kingdom",10:00,10:30,09/11/2024,09/11/2024 10:00,09/11/2024 10:30
127,127,Food Fair #127,Seminar,"Durham, United Kingdom",18:15,19:00,02/08/2024,02/08/2024 18:15,02/08/2024 19:00
128,128,Networking Evening #128,Charity Event,"Durham, United Kingdom",17:00,19:30,04/07/2024,04/07/2024 17:00,04/07/2024 19:30
129,129,Charity Run #129,Festival,"Durham, United Kingdom",23:00,23:59,16/06/2024,16/06/2024 23:00,16/06/2024 23:59
130,130,Winter Gala #130,Party,"Durham, United Kingdom",17:30,19:15,10/08/2024,10/08/2024 17:30,10/08/2024 19:15
131,131,Music Festival #131,Seminar,"Durham, United Kingdom",15:15,16:00,18/08/2024,18/08/2024 15:15,18/08/2024 16:00
132,132,New Year Party #132,Lecture,"Durham, United Kingdom",14:00,15:00,02/08/2024,02/08/2024 14:00,02/08/2024 15:00
133,133,Startup Workshop #133,Play,"Durham, United Kingdom",21:30,21:45,20/08/2024,20/08/2024 21:30,20/08/2024 21:45
134,134,Tech Conference #134,Lecture,"Durham, United Kingdom",19:45,19:45,13/08/2024,13/08/2024 19:45,13/08/2024 19:45
135,135,Science Seminar #135,Networking Event,"Durham, United Kingdom",15:45,18:00,04/07/2024,04/07/2024 15:45,04/07/2024 18:00
136,136,Charity Run #136,Sports Event,"Durham, United Kingdom",20:00,20:00,20/06/2024,20/06/2024 20:00,20/06/2024 20:00
137,137,Charity Run #137,Conference,"Durham, United Kingdom",20:00,00:00,29/08/2024,29/08/2024 20:00,30/08/2024 00:00
138,138,Music Festival #138,Sports Event,"Durham, United Kingdom",15:45,19:45,29/08/2024,29/08/2024 15:45,29/08/2024 19:45
139,139,Tech Conference #139,Workshop,"Durham, United Kingdom",17:15,17:15,01/08/2024,01/08/2024 17:15,01/08/2024 17:15
140,140,Cultural Festival #140,Movie Screening,"Durham, United Kingdom",19:45,21:15,21/07/2024,21/07/2024 19:45,21/07/2024 21:15
141,141,Startup Workshop #141,Conference,"Durham, United Kingdom",17:00,18:45,29/09/2024,29/09/2024 17:00,29/09/2024 18:45
142,142,Music Festival #142,Festival,"Durham, United Kingdom",18:00,18:30,06/08/2024,06/08/2024 18:00,06/08/2024 18:30
143,143,Startup Workshop #143,Sports Event,"Durham, United Kingdom",17:30,17:30,19/11/2024,19/11/2024 17:30,19/11/2024 17:30
144,144,Shakespeare Play #144,Movie Screening,"Durham, United Kingdom",17:15,19:00,22/09/2024,22/09/2024 17:15,22/09/2024 19:00
145,145,Art Exhibition #145,Party,"Durham, United Kingdom",17:45,21:45,21/10/2024,21/10/2024 17:45,21/10/2024 21:45
146,146,Music Festival #146,Workshop,"Durham, United Kingdom",16:15,16:30,15/09/2024,15/09/2024 16:15,15/09/2024 16:30
147,147,Tech Conference #147,Conference,"Durham, United Kingdom",13:30,17:30,20/07/2024,20/07/2024 13:30,20/07/2024 17:30
148,148,Historical Lecture #148,Movie Screening,"Durham, United Kingdom",20:15,20:15,12/07/2024,12/07/2024 20:15,12/07/2024 20:15
149,149,Winter Gala #149,Workshop,"Durham, United Kingdom",19:15,19:45,31/10/2024,31/10/2024 19:15,31/10/2024 19:45
150,150,Music Festival #150,Conference,"Durham, United Kingdom",17:45,20:15,11/07/2024,11/07/2024 17:45,11/07/2024 20:15
151,151,Film Night #151,Play,"Durham, United Kingdom",13:45,15:00,02/09/2024,02/09/2024 13:45,02/09/2024 15:00
152,152,Charity Run #152,Concert,"Durham, United Kingdom",08:30,09:30,25/11/2024,25/11/2024 08:30,25/11/2024 09:30
153,153,Art Exhibition #153,Ball,"Durham, United Kingdom",16:45,16:45,27/10/2024,27/10/2024 16:45,27/10/2024 16:45
154,154,Networking Evening #154,Festival,"Durham, United Kingdom",22:30,22:30,17/06/2024,17/06/2024 22:30,17/06/2024 22:30
155,155,New Year Party #155,Sports Event,"Durham, United Kingdom",11:45,12:30,08/10/2024,08/10/2024 11:45,08/10/2024 12:30
156,156,Art Exhibition #156,Lecture,"Durham, United Kingdom",16:15,18:30,24/06/2024,24/06/2024 16:15,24/06/2024 18:30
157,157,Tech Conference #157,Fair,"Durham, United Kingdom",15:00,15:00,28/08/2024,28/08/2024 15:00,28/08/2024 15:00
158,158,Winter Gala #158,Conference,"Durham, United Kingdom",16:15,17:00,06/07/2024,06/07/2024 16:15,06/07/2024 17:00
159,159,Sports Day #159,Play,"Durham, United Kingdom",21:15,21:30,26/06/2024,26/06/2024 21:15,26/06/2024 21:30
160,160,Science Seminar #160,Fair,"Durham, United Kingdom",23:15,23:59,21/06/2024,21/06/2024 23:15,21/06/2024 23:59
161,161,Science Seminar #161,Party,"Durham, United Kingdom",19:45,22:30,03/09/2024,03/09/2024 19:45,03/09/2024 22:30
162,162,Shakespeare Play #162,Party,"Durham, United Kingdom",19:15,22:00,28/09/2024,28/09/2024 19:15,28/09/2024 22:00
163,163,Sports Day #163,Seminar,"Durham, United Kingdom",15:00,15:15,28/10/2024,28/10/2024 15:00,28/10/2024 15:15
164,164,Historical Lecture #164,Fair,"Durham, United Kingdom",23:45,23:59,28/07/2024,28/07/2024 23:45,28/07/2024 23:59
165,165,Art Exhibition #165,Party,"Durham, United Kingdom",18:15,18:45,31/10/2024,31/10/2024 18:15,31/10/2024 18:45
166,166,Networking Evening #166,Lecture,"Durham, United Kingdom",16:30,18:00,01/07/2024,01/07/2024 16:30,01/07/2024 18:00
167,167,Music Festival #167,Seminar,"Durham, United Kingdom",19:30,20:30,15/09/2024,15/09/2024 19:30,15/09/2024 20:30
168,168,Historical Lecture #168,Exhibition,"Durham, United Kingdom",21:45,22:00,25/08/2024,25/08/2024 21:45,25/08/2024 22:00
169,169,Science Seminar #169,Party,"Durham, United Kingdom",20:15,22:45,21/10/2024,21/10/2024 20:15,21/10/2024 22:45
170,170,Winter Gala #170,Lecture,"Durham, United Kingdom",17:15,18:00,20/09/2024,20/09/2024 17:15,20/09/2024 18:00
171,171,Startup Workshop #171,Lecture,"Durham, United Kingdom",13:30,16:30,09/11/2024,09/11/2024 13:30,09/11/2024 16:30
172,172,Film Night #172,Workshop,"Durham, United Kingdom",20:30,20:30,24/10/2024,24/10/2024 20:30,24/10/2024 20:30
173,173,Science Seminar #173,Workshop,"Durham, United Kingdom",20:30,22:00,26/06/2024,26/06/2024 20:30,26/06/2024 22:00
174,174,Tech Conference #174,Networking Event,"Durham, United Kingdom",14:30,15:00,13/11/2024,13/11/2024 14:30,13/11/2024 15:00
175,175,Film Night #175,Play,"Durham, United Kingdom",20:30,20:30,09/12/2024,09/12/2024 20:30,09/12/2024 20:30
176,176,Startup Workshop #176,Fair,"Durham, United Kingdom",18:00,20:15,13/07/2024,13/07/2024 18:00,13/07/2024 20:15
177,177,Art Exhibition #177,Party,"Durham, United Kingdom",14:30,14:30,26/06/2024,26/06/2024 14:30,26/06/2024 14:30
178,178,Shakespeare Play #178,Fair,"Durham, United Kingdom",14:15,14:15,17/11/2024,17/11/2024 14:15,17/11/2024 14:15
179,179,Winter Gala #179,Workshop,"Durham, United Kingdom",12:00,14:45,01/11/2024,01/11/2024 12:00,01/11/2024 14:45
180,180,Music Festival #180,Conference,"Durham, United Kingdom",14:30,14:30,03/10/2024,03/10/2024 14:30,03/10/2024 14:30
181,181,Sports Day #181,Charity Event,"Durham, United Kingdom",21:00,23:59,13/11/2024,13/11/2024 21:00,13/11/2024 23:59
182,182,Networking Evening #182,Seminar,"Durham, United Kingdom",22:45,23:30,05/08/2024,05/08/2024 22:45,05/08/2024 23:30
183,183,Art Exhibition #183,Workshop,"Durham, United Kingdom",21:00,21:15,18/11/2024,18/11/2024 21:00,18/11/2024 21:15
184,184,Winter Gala #184,Festival,"Durham, United Kingdom",22:30,22:45,17/06/2024,17/06/2024 22:30,17/06/2024 22:45
185,185,Tech Conference #185,Charity Event,"Durham, United Kingdom",09:00,09:00,27/08/2024,27/08/2024 09:00,27/08/2024 09:00
186,186,Film Night #186,Party,"Durham, United Kingdom",20:00,21:30,31/10/2024,31/10/2024 20:00,31/10/2024 21:30
187,187,Networking Evening #187,Concert,"Durham, United Kingdom",18:15,18:15,02/10/2024,02/10/2024 18:15,02/10/2024 18:15
188,188,Startup Workshop #188,Workshop,"Durham, United Kingdom",15:00,15:45,14/10/2024,14/10/2024 15:00,14/10/2024 15:45
189,189,Art Exhibition #189,Sports Event,"Durham, United Kingdom",13:00,14:00,13/08/2024,13/08/2024 13:00,13/08/2024 14:00
190,190,Tech Conference #190,Ball,"Durham, United Kingdom",22:45,23:59,27/09/2024,27/09/2024 22:45,27/09/2024 23:59
191,191,Film Night #191,Party,"Durham, United Kingdom",19:30,23:30,23/11/2024,23/11/2024 19:30,23/11/2024 23:30
192,192,Cultural Festival #192,Charity Event,"Durham, United Kingdom",14:15,14:45,27/07/2024,27/07/2024 14:15,27/07/2024 14:45
193,193,Tech Conference #193,Lecture,"Durham, United Kingdom",13:30,14:45,05/07/2024,05/07/2024 13:30,05/07/2024 14:45
194,194,Charity Run #194,Fair,"Durham, United Kingdom",16:30,18:15,04/12/2024,04/12/2024 16:30,04/12/2024 18:15
195,195,New Year Party #195,Concert,"Durham, United Kingdom",22:15,23:30,28/08/2024,28/08/2024 22:15,28/08/2024 23:30
196,196,New Year Party #196,Charity Event,"Durham, United Kingdom",14:45,15:45,23/10/2024,23/10/2024 14:45,23/10/2024 15:45
197,197,Charity Run #197,Fair,"Durham, United Kingdom",19:45,20:30,05/09/2024,05/09/2024 19:45,05/09/2024 20:30
198,198,Startup Workshop #198,Lecture,"Durham, United Kingdom",18:15,19:30,03/12/2024,03/12/2024 18:15,03/12/2024 19:30
199,199,Shakespeare Play #199,Charity Event,"Durham, United Kingdom",21:45,22:15,11/12/2024,11/12/2024 21:45,11/12/2024 22:15
200,200,Shakespeare Play #200,Party,"Durham, United Kingdom",22:45,23:30,22/10/2024,22/10/2024 22:45,22/10/2024 23:30
201,201,Charity Run #201,Concert,"Durham, United Kingdom",18:15,20:30,26/09/2024,26/09/2024 18:15,26/09/2024 20:30
202,202,Charity Run #202,Charity Event,"Durham, United Kingdom",13:15,17:15,15/06/2024,15/06/2024 13:15,15/06/2024 17:15
203,203,Winter Gala #203,Lecture,"Durham, United Kingdom",23:30,23:45,24/10/2024,24/10/2024 23:30,24/10/2024 23:45
204,204,Art Exhibition #204,Ball,"Durham, United Kingdom",16:30,17:15,17/11/2024,17/11/2024 16:30,17/11/2024 17:15
205,205,Shakespeare Play #205,Fair,"Durham, United Kingdom",19:15,20:45,02/07/2024,02/07/2024 19:15,02/07/2024 20:45
206,206,Shakespeare Play #206,Workshop,"Durham, United Kingdom",18:30,22:30,14/09/2024,14/09/2024 18:30,14/09/2024 22:30
207,207,New Year Party #207,Fair,"Durham, United Kingdom",15:30,15:45,20/07/2024,20/07/2024 15:30,20/07/2024 15:45
208,208,Food Fair #208,Play,"Durham, United Kingdom",13:15,16:15,07/12/2024,07/12/2024 13:15,07/12/2024 16:15
